  PID TTY          TIME CMD
  891 ?        00:00:00 ext4-rsv-conver
  925 ?        00:00:06 auditd
  935 ?        00:00:05 audispd
  939 ?        00:00:00 alsactl
  944 ?        00:00:19 NetworkManager
  945 ?        00:01:27 dbus-daemon
  951 ?        00:00:00 gpm
  953 ?        00:00:02 sedispatch
  959 ?        00:00:02 gssproxy
  978 ?        00:00:00 smartd
  982 ?        00:01:41 irqbalance
  985 ?        00:00:00 abrtd
  988 ?        00:00:30 rsyslogd
  997 ?        00:00:14 rtkit-daemon
  998 ?        00:00:00 avahi-daemon
 1000 ?        00:00:00 mcelog
 1007 ?        00:00:00 rpc.gssd
 1008 ?        00:00:00 avahi-daemon
 1016 ?        00:00:00 iprt-VBoxWQueue
 1017 ?        00:00:23 iprt-VBoxTscThr
 1020 ?        00:00:03 polkitd
 1026 ?        00:06:24 sssd
 1032 ?        00:57:41 sssd_be
 1063 ?        00:03:00 sssd_nss
 1064 ?        00:00:18 sssd_pam
 1074 ?        00:00:00 abrt-watch-log
 1075 ?        00:00:10 abrt-dump-journ
 1079 ?        00:00:22 systemd-logind
 1080 ?        00:02:11 accounts-daemon
 1255 ?        00:00:01 sshd
 1266 ?        00:00:50 automount
 1273 ?        00:05:56 snmpd
 1275 ?        00:00:00 libvirtd
 1284 ?        00:00:00 atd
 1285 ?        00:00:00 kdm
 1383 ?        00:00:00 dnsmasq
 1384 ?        00:00:00 dnsmasq
 1388 tty1     00:06:24 Xorg
 1395 ?        00:00:03 kworker/5:1H
 1526 ?        00:00:00 acpid
 1533 ?        00:00:00 crond
 1543 ?        00:00:02 colord
 1550 ?        00:00:00 kdm
 1556 ?        00:15:50 kdm_greet
 1660 ?        00:00:00 kworker/14:1H
 1662 ?        00:00:00 kworker/17:1H
 1747 ?        00:00:00 login
 1748 ?        00:00:01 kworker/16:1H
 1751 ?        00:00:01 systemd
 1753 ?        00:00:00 (sd-pam)
 1754 ?        00:00:00 kworker/12:1H
 1756 ?        00:00:02 console-kit-dae
 1821 ?        00:00:00 kworker/13:1H
 1822 tty2     00:00:00 bash
 1823 ?        00:00:00 kworker/15:1H
 1977 ?        00:00:00 nfsiod
 1988 ?        00:00:00 nfsv4.1-svc
 4997 ?        00:00:00 kworker/16:2
 6084 ?        00:00:00 ssh-agent
 8853 ?        00:00:01 systemd
 8854 ?        00:00:00 (sd-pam)
 9332 ?        00:00:00 finder
 9335 ?        00:00:00 sort
 9336 ?        00:00:00 head
 9762 ?        00:00:00 rpc.statd
 9764 ?        00:00:00 rpcbind
10669 ?        00:00:00 bluetoothd
10941 ?        00:00:01 upowerd
10961 ?        00:00:03 udisksd
12936 ?        00:00:00 ssh-agent
13173 ?        00:00:00 systemd
13174 ?        00:00:00 (sd-pam)
13569 ?        00:00:00 sshd
13634 ?        00:00:00 sshd
13635 pts/15   00:00:00 bash
14348 ?        00:00:00 sshd
14353 ?        00:00:00 sshd
14354 pts/14   00:00:00 bash
15420 ?        00:00:00 finder
15426 ?        00:00:00 sort
15427 ?        00:00:00 head
15712 ?        00:00:00 xargs
15713 ?        00:00:00 sort
15714 ?        00:00:00 head
15965 ?        00:00:00 pipe
15970 ?        00:00:00 pipe
16093 ?        00:00:00 sort
16094 ?        00:00:00 quash
16258 ?        00:00:00 finder
16267 ?        00:00:00 xargs
16268 ?        00:00:00 sort
16269 ?        00:00:00 head
18624 ?        00:00:00 systemd
18625 ?        00:00:00 (sd-pam)
19845 ?        6-20:10:32 quash
20088 ?        6-20:08:55 quash
20917 ?        00:00:00 kworker/13:1
22336 ?        00:00:00 sort
22337 ?        00:00:00 head
24464 pts/15   00:00:00 sort
24465 pts/15   00:00:00 head
26133 ?        00:00:00 less
26898 ?        00:00:00 ssh-agent
27067 ?        00:00:00 sort
27068 ?        00:00:00 head
28072 ?        00:00:00 kworker/21:0
28077 ?        00:00:00 kworker/18:0
28722 ?        00:00:00 kworker/13:2
30419 ?        00:00:00 kworker/17:2
34119 ?        00:00:01 kworker/1:0
34799 ?        00:00:00 kworker/8:0
34825 ?        00:00:00 cat
34885 ?        00:00:00 kworker/20:2
34954 ?        00:00:00 cat
35831 ?        00:00:00 sshd
35834 ?        00:00:00 sshd
35835 pts/17   00:00:00 bash
35939 ?        00:00:00 kworker/0:0
36701 ?        00:00:00 kworker/9:0
38467 ?        00:00:00 kworker/9:2
38814 ?        00:00:00 kworker/21:1
39504 ?        00:00:02 kworker/12:1
40230 ?        6-17:00:59 quash
40432 ?        6-16:58:31 quash
41648 ?        00:00:00 sort
41650 ?        00:00:00 head
41700 ?        00:00:00 sort
41701 ?        00:00:00 head
44998 ?        00:00:00 kworker/19:1
45322 ?        00:00:00 kworker/1:2
45596 ?        00:00:00 kworker/15:0
45598 ?        00:00:00 kworker/11:1
45605 ?        00:00:00 sshd
45613 ?        00:00:00 systemd
45614 ?        00:00:00 (sd-pam)
45616 ?        00:00:00 sshd
45617 pts/1    00:00:00 bash
45696 ?        00:00:00 sshd
45700 ?        00:00:00 sshd
45702 ?        00:00:00 sftp-server
45718 pts/1    00:00:00 emacs
45873 ?        00:00:00 kworker/15:3
45878 ?        00:00:00 kworker/22:1
45957 ?        00:00:00 kworker/0:2
45964 ?        00:00:00 sshd
45967 ?        00:00:00 sshd
45969 ?        00:00:00 bash
46133 ?        00:00:00 sshd
46140 ?        00:00:00 sshd
46141 pts/6    00:00:00 bash
46293 ?        00:00:00 kworker/23:0
46538 ?        00:00:00 kworker/23:2
46919 ?        00:00:00 sshd
46927 ?        6-16:16:54 memcheck-amd64-
46942 ?        00:00:00 sshd
46943 pts/13   00:00:00 bash
47631 ?        00:00:00 kworker/u128:0
47708 ?        00:00:00 kworker/18:2
47745 ?        00:00:00 kworker/2:1
48205 ?        00:00:00 kworker/5:1
48244 ?        00:00:00 kworker/6:1
48291 ?        00:00:00 kworker/u128:2
49497 ?        00:00:00 sort
49498 ?        00:00:00 head
49503 ?        00:00:00 sort
49504 ?        00:00:00 head
49505 ?        00:00:00 quash
49515 ?        00:00:00 sort
49516 ?        00:00:00 head
49517 ?        00:00:00 quash
49647 ?        00:00:00 sort
49648 ?        00:00:00 head
49652 ?        00:00:00 sort
49653 ?        00:00:00 head
49968 ?        00:00:00 sort
49969 ?        00:00:00 head
49980 ?        00:00:00 sort
49981 ?        00:00:00 sort
50019 ?        00:00:00 sort
50020 ?        00:00:00 sort
51061 ?        00:00:01 systemd
51062 ?        00:00:00 (sd-pam)
51149 ?        00:00:00 ssh-agent
51397 ?        00:00:00 kworker/16:0
54158 ?        00:00:00 kworker/3:2
54293 ?        00:00:00 chronyd
54306 ?        00:00:00 cupsd
54644 pts/15   00:00:00 sort
54645 pts/15   00:00:00 head
54646 pts/15   00:00:00 sort
54832 ?        00:00:00 kworker/7:1
54861 ?        00:00:00 kworker/17:1
54868 ?        00:00:00 kworker/3:1
55167 pts/13   00:00:02 emacs
55376 ?        00:00:00 kworker/10:3
55379 ?        00:00:00 kworker/19:3
55402 ?        00:00:00 kworker/14:0
55412 ?        00:00:00 kworker/22:2
55551 pts/15   00:00:00 man
55564 pts/15   00:00:00 less
